Rx-MLS,DA3-4-5-6-MLS,DA4-5-1-2-MLS,DA4-5-6-7-MLS,DA9-10-11-14-MLS,DA9-10-11-12-MLS,DA1-5-6-7-MLS,DA1-12-11-14-MLS,DA1-5-4-20-MLS,DA6-5-4-20-MLS,BA1-2-3-MLS,BA3-4-20-MLS,BA1-5-4-MLS,BA5-4-20-MLS,BA5-6-7-MLS,BA7-6-22-MLS,BA10-11-12-MLS,BA10-11-14-MLS,BA1-12-11-MLS,BA5-1-12-MLS,NB1-12-MLS,NB7-12-MLS,BL1-2-MLS,BL5-6-MLS,BL6-7-MLS,BL11-12-MLS,BL4-20-MLS,BL4-19-MLS,BL6-22-MLS,BL10-15-MLS,HOMO-MLS,LUMO-MLS,DM-MLS,q1-MLS,q2-MLS,q3-MLS,q4-MLS,q5-MLS,q6-MLS,q7-MLS,q8-MLS,q9-MLS,q10-MLS,q11-MLS,q12-MLS,q13-MLS,q14-MLS,q15-MLS,q19-MLS,q20-MLS,q22-MLS,NMR1-MLS,NMR2-MLS,NMR3-MLS,NMR4-MLS,NMR5-MLS,NMR6-MLS,NMR7-MLS,NMR8-MLS,NMR9-MLS,NMR10-MLS,NMR11-MLS,NMR12-MLS,NMR13-MLS,NMR14-MLS,NMR15-MLS,NMR19-MLS,NMR20-MLS,NMR22-MLS,L-R14-MLS,B1-R14-MLS,B5-R14-MLS,L-R15-MLS,B1-R15-MLS,B5-R15-MLS,VF(C6=O7)-MLS,VI(C6=O7)-MLS,VF(C9=O13)-MLS,VI(C9=O13)-MLS,VF(C11-H12)-MLS,VI(C11-H12)-MLS,L-Y-MLS,B1-Y-MLS,B5-Y-MLS,L-X-MLS,B1-X-MLS,B5-X-MLS,L-R16-MLS,B1-R16-MLS,B5-R16-MLS,BV-MLS,BV-SW-MLS,BV-NW-MLS,BV-NE-MLS,BV-SE-MLS,Area-MLS,Volume-MLS,PSA-MLS,Ovality-MLS,HOMO-MC,LUMO-MC,DM-MC,Rx-MC,Ry-MC,Volume-MC,PSA-MC,Ovality-MC,q(Pd)-MC,DM-CP,HOMO-CP,LUMO-CP,Rx-CP,BL1-2-CP,BL1-6-CP,BL1-7-CP,NMR1-CP,NMR2-CP,NMR6-CP,NMR7-CP,q1-CP,q2-CP,q6-CP,Area-CP,Volume-CP,PSA-CP,Ovality-CP,Rx-B,Ry-B,Rz-B,DM-B,HOMO-B,LUMO-B,Area-B,Volume-B,PSA-B,Ovality-B,q(Ag)-A,Rx-A,Ry-A,Rz-A,HOMO-A,LUMO-A,DM-A,Area-A,Volume-A,PSA-A,Ovality-A,Eqv(L),Eqv(B),Eqv(A),Time(H)   ,Temp.,DC(Solvent),%ee
0.13002,153.3455751,16.32135022,172.3632142,151.0334746,19.43681333,8.638842531,86.49560596,115.177747,80.51442184,118.0626017,110.974536,115.8641975,115.2589696,124.7773995,123.0808291,123.7545011,112.2620185,115.3150891,94.00521157,1.891794146,2.453219731,1.988417433,1.342649391,1.240258783,1.126292666,1.547276213,1.099118523,1.373325139,1.539296372,-0.17903,-0.05316,4.3915,0.47777,-0.30199,0.65954,-0.13953,-0.64743,0.94539,-0.72994,-0.66681,0.70341,-0.12702,-0.42796,0.21994,-0.66236,0.26434,-0.44791,0.26511,-0.4639,-0.60598,-456.5242,16.1083,17.4046,131.027,164.8028,39.8751,72.9119,125.9675,18.4687,137.8066,158.105,33.5586,-64.1256,28.9841,153.976,28.2394,154.2173,149.4097,4.29,1.57,4.35,5.27,1.05,4.2,1690.36,557.5325,1709.51,715.5608,2694.12,355.2023,4.81,1.45,3.51,6.17,1.49,7.78,4.05,1.5,3.14,35.3,2.6,54.3,56.3,28.2,580.27,548.18,78.936,1.79,-0.2582,-0.10974,0.0001,6.15816,0.61175,123.13,54.67,1.35,0.70235,2.3435,-0.24552,-0.02109,1.33336,1.406419107,1.406353917,1.554839652,66.6148,61.3157,61.3096,82.5072,-0.41996,-0.20006,-0.20008,251.49,233.49,13.863,1.37,6.1268961,1.9593751,1.4846016,9.2134,-0.1792,-0.02399,90.57,62.11,40.099,1.19,0.75582,4.5178,0.40418,0.371,-0.1898,-0.08443,7.2601,96.57,66.07,40.078,1.22,11,2,1.5,24,70,5.91,79
0.11852,151.7205058,19.85113922,171.4454977,151.2796088,20.76708518,7.98718325,87.51680318,114.590275,81.31010668,116.7259473,111.5406152,115.590153,115.6793692,124.71271,123.2628817,123.2646887,112.08389,116.6536654,93.55717173,1.960623516,2.480406998,1.996212386,1.343214193,1.239888471,1.121103448,1.546256351,1.099500949,1.372742178,1.539263156,-0.17968,-0.05536,4.6702,0.50205,-0.29882,0.65532,-0.13855,-0.64864,0.94506,-0.7261,-0.67938,0.7021,-0.12739,-0.43154,0.21967,-0.66568,0.26077,-0.44699,0.26484,-0.46446,-0.60548,-493.7785,24.9737,19.2229,130.9732,167.6698,39.6246,71.5104,127.7839,18.0155,138.1795,157.8918,32.9227,-64.6205,29.0943,153.7267,28.1708,154.5705,148.3871,4.29,1.57,4.35,5.27,1.05,4.2,1690.17,564.1121,1703.94,772.2863,2785.73,397.1205,5.82,1.5,4.49,6.17,1.49,7.78,4.05,1.5,3.14,37.5,4.6,53.4,58,34.1,615.17,585.14,77.948,1.82,-0.2582,-0.10974,0.0001,6.15816,0.61175,123.13,54.67,1.35,0.70235,2.3435,-0.24552,-0.02109,1.33336,1.406419107,1.406353917,1.554839652,66.6148,61.3157,61.3096,82.5072,-0.41996,-0.20006,-0.20008,251.49,233.49,13.863,1.37,6.1268961,1.9593751,1.4846016,9.2134,-0.1792,-0.02399,90.57,62.11,40.099,1.19,0.75582,4.5178,0.40418,0.371,-0.1898,-0.08443,7.2601,96.57,66.07,40.078,1.22,11,2,1.5,24,70,5.91,60
0.0997,159.1153493,11.22354861,174.26305,147.867718,22.37952912,14.94976887,80.36751244,126.2557283,75.10751295,115.8630534,111.5781345,117.8068166,115.2402474,122.8184136,123.9523026,117.4615535,111.2772197,113.6882053,99.44925048,2.582670031,3.469052613,1.997832655,1.33896933,1.244582525,1.096142357,1.54558345,1.10160191,1.363885542,1.539462212,-0.18367,-0.06191,5.3344,0.54876,-0.30688,0.66281,-0.14009,-0.65391,0.94578,-0.71251,-0.71324,0.70711,-0.12976,-0.43816,0.23242,-0.66069,0.24204,-0.44988,0.26227,-0.46419,-0.59802,-616.5524,35.8915,15.3368,134.1935,179.3603,37.5203,89.4795,124.6908,15.8547,136.293,151.9917,28.1047,-81.1152,28.0757,155.4304,28.4382,153.7485,140.3992,4.27,1.57,4.39,5.27,1.05,4.2,1661.55,414.6788,1698.7,579.6561,3043.94,76.0953,5.8,1.46,4.84,6.17,1.49,7.78,4.05,1.5,3.14,38.8,1.3,46.3,63.5,44.2,641.29,603.98,79.14,1.86,-0.2582,-0.10974,0.0001,6.15816,0.61175,123.13,54.67,1.35,0.70235,2.3435,-0.24552,-0.02109,1.33336,1.406419107,1.406353917,1.554839652,66.6148,61.3157,61.3096,82.5072,-0.41996,-0.20006,-0.20008,251.49,233.49,13.863,1.37,6.1268961,1.9593751,1.4846016,9.2134,-0.1792,-0.02399,90.57,62.11,40.099,1.19,0.75582,4.5178,0.40418,0.371,-0.1898,-0.08443,7.2601,96.57,66.07,40.078,1.22,11,2,1.5,24,70,5.91,43
0.11932,155.5697699,22.90025945,172.7929824,151.5899576,20.99026091,6.839927061,86.06453497,116.3938519,77.09317755,113.563783,111.8548452,115.5701546,116.3804875,125.7151117,121.4992688,122.5616677,112.4997322,116.7440533,92.88149989,1.960287469,2.482021706,2.011964703,1.33715957,1.238637559,1.120667706,1.546733989,1.100573322,1.382293105,1.538372026,-0.18288,-0.05663,4.6923,0.49876,-0.30469,0.66165,-0.14011,-0.64325,0.94036,-0.72268,-0.69183,0.7006,-0.12697,-0.43019,0.21845,-0.67119,0.26049,-0.44572,0.26437,-0.46537,-0.59021,-510.225,22.6728,15.9591,132.1927,170.2465,40.426,74.616,130.6249,17.9657,138.1898,157.3085,32.917,-59.9479,29.0977,154.0349,28.1923,155.1241,162.4164,4.3,1.57,4.36,4.88,1.28,6.99,1707.86,695.7551,1697.2,566.1278,2795.77,409.6022,5.8,1.46,4.84,6.17,1.49,7.78,4.05,1.5,3.14,39.1,5.9,54.3,60,36.1,649.53,631.88,79.404,1.82,-0.2582,-0.10974,0.0001,6.15816,0.61175,123.13,54.67,1.35,0.70235,2.3435,-0.24552,-0.02109,1.33336,1.406419107,1.406353917,1.554839652,66.6148,61.3157,61.3096,82.5072,-0.41996,-0.20006,-0.20008,251.49,233.49,13.863,1.37,6.1268961,1.9593751,1.4846016,9.2134,-0.1792,-0.02399,90.57,62.11,40.099,1.19,0.75582,4.5178,0.40418,0.371,-0.1898,-0.08443,7.2601,96.57,66.07,40.078,1.22,11,2,1.5,24,70,5.91,78
0.08993,145.3173602,21.68518974,169.2908092,152.0885035,21.62484412,15.34698524,85.89827202,117.9993646,87.53544638,113.5346552,111.7932687,115.2205257,115.8282533,125.5693389,121.1145116,122.5390108,112.0746289,116.2477902,92.49791433,1.968948588,2.529954335,2.01233262,1.340790184,1.23842893,1.120343431,1.544721795,1.099521126,1.382000205,1.538484781,-0.18593,-0.05761,3.0188,0.49634,-0.30519,0.66085,-0.14156,-0.64857,0.93953,-0.7151,-0.68986,0.70059,-0.12628,-0.43219,0.219,-0.6699,0.25838,-0.4458,0.26707,-0.46294,-0.59122,-519.9184,21.7818,15.7427,132.2926,178.1414,38.6567,70.7058,131.2851,18.0267,137.4502,157.9455,32.7562,-60.6213,28.9399,154.0404,28.0349,154.3421,177.8159,4.29,1.58,4.37,6.81,1.35,7.89,1704.19,653.8504,1696.85,555.8962,2784.01,407.0011,5.8,1.46,4.84,6.17,1.49,7.78,4.05,1.5,3.14,38.3,93.6,48.7,41.3,63.3,740.11,722.96,80.057,1.9,-0.2582,-0.10974,0.0001,6.15816,0.61175,123.13,54.67,1.35,0.70235,2.3435,-0.24552,-0.02109,1.33336,1.406419107,1.406353917,1.554839652,66.6148,61.3157,61.3096,82.5072,-0.41996,-0.20006,-0.20008,251.49,233.49,13.863,1.37,6.1268961,1.9593751,1.4846016,9.2134,-0.1792,-0.02399,90.57,62.11,40.099,1.19,0.75582,4.5178,0.40418,0.371,-0.1898,-0.08443,7.2601,96.57,66.07,40.078,1.22,11,2,1.5,24,70,5.91,79
0.11775,154.7581453,25.7128113,172.592197,152.3253797,21.76630585,4.11096731,87.95994159,112.7753799,78.45370145,113.1268991,111.1337427,114.1185415,116.8513662,125.3183447,114.6807706,122.9326433,112.2201773,117.6519876,93.51451989,1.963022094,2.426488536,2.009295921,1.330075447,1.242964354,1.12087729,1.546887592,1.095437416,1.557059154,1.537542417,-0.19137,-0.06218,4.0501,0.49929,-0.30113,0.66141,-0.14954,-0.60308,0.57064,-0.66621,-0.68754,0.70089,-0.1268,-0.42966,0.21711,-0.66851,0.25944,-0.44638,0.27379,-0.46968,1.0686,-514.9804,24.2888,16.7251,132.7008,132.7698,38.5893,-19.0488,132.2499,17.9023,138.2983,157.5864,33.0486,-62.8529,29.1627,154.3002,27.5886,154.0981,69.0574,4.3,1.58,4.34,3.39,1.96,2.62,1690.02,604.5167,1701.03,551.5644,2783.66,461.5289,5.8,1.46,4.84,6.17,1.49,7.78,4.05,1.5,3.14,39.2,6.4,54.1,59.7,36.5,572.86,552.47,74.44,1.76,-0.2582,-0.10974,0.0001,6.15816,0.61175,123.13,54.67,1.35,0.70235,2.3435,-0.24552,-0.02109,1.33336,1.406419107,1.406353917,1.554839652,66.6148,61.3157,61.3096,82.5072,-0.41996,-0.20006,-0.20008,251.49,233.49,13.863,1.37,6.1268961,1.9593751,1.4846016,9.2134,-0.1792,-0.02399,90.57,62.11,40.099,1.19,0.75582,4.5178,0.40418,0.371,-0.1898,-0.08443,7.2601,96.57,66.07,40.078,1.22,11,2,1.5,24,70,5.91,69
0.12799,140.8628573,28.31122147,171.66712,149.8478078,19.31760775,10.89013374,90.27914507,106.4257592,91.16349899,115.9871945,112.3049176,113.8591163,115.6191456,126.5725388,120.0518186,123.8649076,111.907985,119.0014193,91.87242813,1.939079797,2.528749594,2.004979332,1.33683178,1.240973143,1.120711654,1.545615287,1.10141997,1.114643904,1.542108063,-0.18114,-0.05637,2.7395,0.46997,-0.30529,0.66129,-0.14082,-0.62774,0.49293,-0.68804,-0.69747,0.70202,-0.12638,-0.43768,0.2207,-0.67098,0.26002,-0.44616,0.25902,-0.46415,0.14349,-482.0781,33.7832,17.2109,130.6894,136.8068,33.3594,-27.9578,126.9907,18.6834,138.9024,162.6528,31.6975,-58.2803,29.6306,152.3022,28.1794,150.7336,23.1978,4.3,1.58,4.34,2,1,1,1707.3,806.8401,1696.48,611.2824,2809.93,273.6793,5.8,1.46,4.84,6.17,1.49,7.78,4.05,1.5,3.14,39.5,17.6,54.9,47.1,38.4,550.13,521.34,73.712,1.76,-0.2582,-0.10974,0.0001,6.15816,0.61175,123.13,54.67,1.35,0.70235,2.3435,-0.24552,-0.02109,1.33336,1.406419107,1.406353917,1.554839652,66.6148,61.3157,61.3096,82.5072,-0.41996,-0.20006,-0.20008,251.49,233.49,13.863,1.37,6.1268961,1.9593751,1.4846016,9.2134,-0.1792,-0.02399,90.57,62.11,40.099,1.19,0.75582,4.5178,0.40418,0.371,-0.1898,-0.08443,7.2601,96.57,66.07,40.078,1.22,11,2,1.5,24,70,5.91,40
0.14958,151.5315742,17.0855574,171.2222494,149.6350288,17.45561813,8.240428848,84.23161637,109.7374351,86.59200816,118.0688693,109.3123718,115.5781128,112.265517,124.7812576,123.2067794,123.2813615,112.5579685,114.323717,93.55658112,1.885469108,2.461808938,1.988204901,1.345772031,1.239138486,1.127046893,1.534427301,1.097428618,1.372256959,1.539975669,-0.18137,-0.05321,4.1291,0.47738,-0.2999,0.65884,-0.13743,-0.64586,0.94419,-0.72821,-0.66263,0.70333,-0.12795,-0.43136,0.22208,-0.66108,0.26674,-0.44923,0.26125,-0.68743,-0.60586,-457.3295,18.251,18.4931,135.1558,163.4728,39.6085,71.9163,125.6124,18.4141,138.1678,159.0582,33.6462,-65.0864,29.0703,154.0555,28.3138,168.8961,151.8537,2.97,1.51,2.03,5.27,1.05,4.2,1691.44,532.7542,1710.63,678.3539,2694.1,346.9713,4.81,1.45,3.51,6.17,1.49,7.78,4.05,1.5,3.14,28.8,2.6,46.9,37.4,28.2,529.05,494.01,80.427,1.75,-0.2582,-0.10974,0.0001,6.15816,0.61175,123.13,54.67,1.35,0.70235,2.3435,-0.24552,-0.02109,1.33336,1.406419107,1.406353917,1.554839652,66.6148,61.3157,61.3096,82.5072,-0.41996,-0.20006,-0.20008,251.49,233.49,13.863,1.37,6.1268961,1.9593751,1.4846016,9.2134,-0.1792,-0.02399,90.57,62.11,40.099,1.19,0.75582,4.5178,0.40418,0.371,-0.1898,-0.08443,7.2601,96.57,66.07,40.078,1.22,11,2,1.5,24,70,5.91,74
0.1333,134.366505,20.09829826,169.7269463,150.2648692,19.69333309,16.52050276,85.6350056,102.5926796,103.6281237,118.8189646,108.8606754,114.6628769,113.1515853,124.0379962,123.1053056,122.8724903,112.0120608,115.58703,93.50673606,1.97078642,2.497280015,1.990572356,1.349061735,1.239902796,1.120647976,1.554916222,1.094683993,1.368275484,1.540005782,-0.18192,-0.05449,4.2524,0.49091,-0.30245,0.65703,-0.13745,-0.64904,0.94639,-0.72128,-0.67224,0.70282,-0.12781,-0.43675,0.22262,-0.66256,0.26077,-0.44849,0.26781,-0.25174,-0.6021,-493.8882,18.9968,19.3037,127.8156,172.9893,38.1883,62.2395,128.8341,18.1762,138.0685,158.4859,32.6044,-67.0895,29.129,153.8844,28.331,156.2194,147.0775,4.14,1.92,3.18,5.27,1.05,4.2,1681.19,473.7874,1707.26,680.124,2785.04,358.6604,4.81,1.45,3.51,6.17,1.49,7.78,4.05,1.5,3.14,32.8,4.5,48.6,48.9,29,566.36,530.49,80.288,1.79,-0.2582,-0.10974,0.0001,6.15816,0.61175,123.13,54.67,1.35,0.70235,2.3435,-0.24552,-0.02109,1.33336,1.406419107,1.406353917,1.554839652,66.6148,61.3157,61.3096,82.5072,-0.41996,-0.20006,-0.20008,251.49,233.49,13.863,1.37,6.1268961,1.9593751,1.4846016,9.2134,-0.1792,-0.02399,90.57,62.11,40.099,1.19,0.75582,4.5178,0.40418,0.371,-0.1898,-0.08443,7.2601,96.57,66.07,40.078,1.22,11,2,1.5,24,70,5.91,80
0.12464,129.3153176,19.99591933,170.4369893,149.9999479,19.43271439,16.27431107,85.0296688,99.8233477,105.5624483,119.6291906,112.2264087,114.9501135,112.7736376,123.9472405,123.0347799,122.7128216,112.0831002,115.5724502,93.55282345,1.971689445,2.505838603,1.989171948,1.348603868,1.240220362,1.120584578,1.573261689,1.093882654,1.368478284,1.540059071,-0.18133,-0.05405,4.4325,0.48847,-0.29553,0.65591,-0.13444,-0.64627,0.94689,-0.72105,-0.67515,0.70283,-0.1276,-0.43629,0.2222,-0.66395,0.26046,-0.44829,0.27026,-0.04923,-0.60241,-487.6323,18.8745,19.8718,124.6283,168.528,38.4696,61.4843,129.0591,18.1092,137.967,158.274,32.659,-65.5806,29.0601,153.8767,28.4497,153.3614,146.0929,4.12,2.75,3.19,5.27,1.05,4.2,1679.45,447.1821,1705.42,978.4384,2785.38,368.9036,4.81,1.45,3.51,6.17,1.49,7.78,4.05,1.5,3.14,33.6,4.1,49.2,50.6,30.4,581.16,547.89,79.62,1.79,-0.2582,-0.10974,0.0001,6.15816,0.61175,123.13,54.67,1.35,0.70235,2.3435,-0.24552,-0.02109,1.33336,1.406419107,1.406353917,1.554839652,66.6148,61.3157,61.3096,82.5072,-0.41996,-0.20006,-0.20008,251.49,233.49,13.863,1.37,6.1268961,1.9593751,1.4846016,9.2134,-0.1792,-0.02399,90.57,62.11,40.099,1.19,0.75582,4.5178,0.40418,0.371,-0.1898,-0.08443,7.2601,96.57,66.07,40.078,1.22,11,2,1.5,24,70,5.91,68
