Rx-MLS,DA3-4-5-6-MLS,DA4-5-1-2-MLS,DA4-5-6-7-MLS,DA9-10-11-14-MLS,DA9-10-11-12-MLS,DA1-5-6-7-MLS,DA1-12-11-14-MLS,DA1-5-4-20-MLS,DA6-5-4-20-MLS,BA1-2-3-MLS,BA3-4-20-MLS,BA1-5-4-MLS,BA5-4-20-MLS,BA5-6-7-MLS,BA7-6-22-MLS,BA10-11-12-MLS,BA10-11-14-MLS,BA1-12-11-MLS,BA5-1-12-MLS,NB1-12-MLS,NB7-12-MLS,BL1-2-MLS,BL5-6-MLS,BL6-7-MLS,BL11-12-MLS,BL4-20-MLS,BL4-19-MLS,BL6-22-MLS,BL10-15-MLS,HOMO-MLS,LUMO-MLS,DM-MLS,q1-MLS,q2-MLS,q3-MLS,q4-MLS,q5-MLS,q6-MLS,q7-MLS,q8-MLS,q9-MLS,q10-MLS,q11-MLS,q12-MLS,q13-MLS,q14-MLS,q15-MLS,q19-MLS,q20-MLS,q22-MLS,NMR1-MLS,NMR2-MLS,NMR3-MLS,NMR4-MLS,NMR5-MLS,NMR6-MLS,NMR7-MLS,NMR8-MLS,NMR9-MLS,NMR10-MLS,NMR11-MLS,NMR12-MLS,NMR13-MLS,NMR14-MLS,NMR15-MLS,NMR19-MLS,NMR20-MLS,NMR22-MLS,L-R14-MLS,B1-R14-MLS,B5-R14-MLS,L-R15-MLS,B1-R15-MLS,B5-R15-MLS,VF(C6=O7)-MLS,VI(C6=O7)-MLS,VF(C9=O13)-MLS,VI(C9=O13)-MLS,VF(C11-H12)-MLS,VI(C11-H12)-MLS,L-Y-MLS,B1-Y-MLS,B5-Y-MLS,L-X-MLS,B1-X-MLS,B5-X-MLS,L-R16-MLS,B1-R16-MLS,B5-R16-MLS,BV-MLS,BV-SW-MLS,BV-NW-MLS,BV-NE-MLS,BV-SE-MLS,Area-MLS,Volume-MLS,PSA-MLS,Ovality-MLS,HOMO-MC,LUMO-MC,DM-MC,Rx-MC,Ry-MC,Volume-MC,PSA-MC,Ovality-MC,q(Pd)-MC,DM-CP,HOMO-CP,LUMO-CP,Rx-CP,BL1-2-CP,BL1-6-CP,BL1-7-CP,NMR1-CP,NMR2-CP,NMR6-CP,NMR7-CP,q1-CP,q2-CP,q6-CP,Area-CP,Volume-CP,PSA-CP,Ovality-CP,Rx-B,Ry-B,Rz-B,DM-B,HOMO-B,LUMO-B,Area-B,Volume-B,PSA-B,Ovality-B,q(Ag)-A,Rx-A,Ry-A,Rz-A,HOMO-A,LUMO-A,DM-A,Area-A,Volume-A,PSA-A,Ovality-A,Eqv(L),Eqv(B),Eqv(A),Time(H)   ,T (?C),DC(Solvent),%ee
0.31588,143.1594154,25.15297715,173.4122368,142.3180692,17.46194776,6.302304862,98.47569546,96.7827533,94.83810806,113.579904,109.2906454,111.3637497,113.2187521,122.6478241,119.2027027,126.9262153,117.6694392,99.77146544,89.31557591,1.91287082,2.313143699,2.01834508,1.346065666,1.248138821,1.119632692,1.559011316,1.095571674,1.528565532,1.086206683,-0.1892,-0.05717,0.8226,0.57008,-0.65421,0.83092,-0.16462,-0.6137,0.6813,-0.71402,-0.69548,0.82414,-0.35675,-0.52812,0.27095,-0.67624,0.27922,0.28292,0.26581,-0.47733,-0.77846,-581.8196,102.201,16.5185,122.1551,153.0372,27.0601,-36.3902,137.1287,23.1359,168.4536,213.6384,31.8698,-63.1183,32.816,30.0307,27.7474,150.1253,169.5933,4.71,1.55,6.07,2.97,1.5,2.03,1659.01,383.9089,1749.71,444.1599,2767.56,42.7705,2.75,1.02,1.88,2.71,1.03,1.9,2,1,1,35,9.8,57,63.5,9.5,332.55,303.53,71.097,1.52,-0.25089,-0.10865,0,6.15737,0.60887,123.19,54.714,1.35,0.74907,2.4711,-0.24419,-0.0529,3.40459,1.395758783,1.395902444,2.154640103,49.4615,60.7543,60.6024,45.0972,-0.18637,-0.25297,-0.25298,195.67,172.91,20.079,1.3,6.0219779,1.9126339,1.4522648,10.1662,-0.20732,-0.02413,91.37,62.39,40.332,1.2,0.79875,4.46774,0.38892,0.35777,-0.203,-0.07991,8.3156,97.67,66.44,40.427,1.23,20,1.5,1.5,16,80,16.777,68
0.31588,143.1594154,25.15297715,173.4122368,142.3180692,17.46194776,6.302304862,98.47569546,96.7827533,94.83810806,113.579904,109.2906454,111.3637497,113.2187521,122.6478241,119.2027027,126.9262153,117.6694392,99.77146544,89.31557591,1.91287082,2.313143699,2.01834508,1.346065666,1.248138821,1.119632692,1.559011316,1.095571674,1.528565532,1.086206683,-0.1892,-0.05717,0.8226,0.57008,-0.65421,0.83092,-0.16462,-0.6137,0.6813,-0.71402,-0.69548,0.82414,-0.35675,-0.52812,0.27095,-0.67624,0.27922,0.28292,0.26581,-0.47733,-0.77846,-581.8196,102.201,16.5185,122.1551,153.0372,27.0601,-36.3902,137.1287,23.1359,168.4536,213.6384,31.8698,-63.1183,32.816,30.0307,27.7474,150.1253,169.5933,4.71,1.55,6.07,2.97,1.5,2.03,1659.01,383.9089,1749.71,444.1599,2767.56,42.7705,2.75,1.02,1.88,2.71,1.03,1.9,2,1,1,35,9.8,57,63.5,9.5,332.55,303.53,71.097,1.52,-0.25805,-0.10973,0,6.15825,0.61168,123.13,54.677,1.35,0.69974,4.3093,-0.25443,-0.05436,1.15223,1.406029791,1.406432386,1.559021459,60.8212,61.115,61.2353,82.7487,-0.38986,-0.20234,-0.20275,304.57,281.76,33.976,1.47,1.78781,0.89525,0.69034,14.8576,-0.19038,-0.02356,136.53,98.77,66.378,1.32,0.76466,4.5053,0.40063,0.36793,-0.18794,-0.07871,7.5468,96.82,66.16,40.159,1.22,20,1.5,1.5,12,80,13.63,94
0.25665,163.1559658,24.29590939,179.7846392,142.4057298,16.94566624,7.80928977,96.99248683,98.51805416,74.36508022,113.8809354,109.6612058,111.9907103,113.5571131,125.0622956,123.3141827,125.6140058,118.7094352,100.6514187,92.23813594,1.894124312,2.451286373,2.013011459,1.344056797,1.238268106,1.118651929,1.559915123,1.096140144,1.37322053,1.086046811,-0.19009,-0.05982,3.3372,0.57777,-0.65038,0.83071,-0.16245,-0.6481,0.94087,-0.73599,-0.69157,0.8243,-0.35759,-0.51801,0.26463,-0.67303,0.28283,0.28373,0.26976,-0.48184,-0.60843,-587.383,104.4669,16.2815,122.8334,182.302,40.171,82.0731,142.9909,23.1654,169.2276,211.9149,33.1771,-65.4037,32.528,30.0428,27.6973,151.6077,148.843,4.64,1.55,6.1,5.27,1.05,4.2,1700.28,797.4621,1752.4,441.0922,2786.48,15.6872,2.75,1.02,1.88,2.71,1.03,1.9,2,1,1,34.9,5.6,61.7,62.9,9.6,396.34,367.06,73.33,1.6,-0.25805,-0.10973,0,6.15825,0.61168,123.13,54.677,1.35,0.69974,4.3093,-0.25443,-0.05436,1.15223,1.406029791,1.406432386,1.559021459,60.8212,61.115,61.2353,82.7487,-0.38986,-0.20234,-0.20275,304.57,281.76,33.976,1.47,1.78781,0.89525,0.69034,14.8576,-0.19038,-0.02356,136.53,98.77,66.378,1.32,0.76466,4.5053,0.40063,0.36793,-0.18794,-0.07871,7.5468,96.82,66.16,40.159,1.22,20,1.5,1.5,12,80,13.63,80
0.16227,155.4375236,9.702573743,173.1934442,148.3160686,14.52302426,8.282724984,86.57882763,111.0353518,82.84241069,115.6371213,109.110868,113.7296645,112.5656517,124.9999485,123.2184882,124.9249667,112.9564639,114.5367693,94.2901921,1.814663807,2.471373806,1.996218973,1.34610606,1.238336171,1.137717384,1.536537478,1.096994903,1.373081867,1.540459264,-0.18119,-0.06033,6.5704,0.54634,-0.64709,0.83586,-0.17033,-0.65785,0.94297,-0.73284,-0.65238,0.7042,-0.1273,-0.42551,0.22296,-0.6562,0.27335,-0.4502,0.26287,-0.68829,-0.60702,-519.8193,117.168,15.2886,130.1586,166.5207,39.8717,77.6296,125.6491,18.8863,138.4641,160.6204,35.6155,-65.8338,29.0332,154.1274,27.9871,168.2297,154.2927,2.97,1.51,2.03,5.27,1.05,4.2,1698.05,634.2754,1716.15,524.0983,2574.72,327.2579,2.75,1.02,1.88,2.71,6.17,1.49,7.78,1.5,3.14,23.8,6.7,47.1,30.8,10.7,498.97,462.51,77.227,1.73,-0.2582,-0.10974,0.0001,6.15816,0.61175,123.13,54.67,1.35,0.70235,2.3435,-0.24552,-0.02109,1.33336,1.406419107,1.406353917,1.554839652,66.6148,61.3157,61.3096,82.5072,-0.41996,-0.20006,-0.20008,251.54,233.53,13.896,1.37,6.1268961,1.9593751,1.4846016,9.2134,-0.1792,-0.02399,90.57,62.11,40.099,1.19,0.75582,4.5178,0.40418,0.371,-0.1898,-0.08443,7.2601,96.57,66.07,40.078,1.22,20,2,1.5,24,70,5.91,24
0.14303,153.7934383,13.37893775,175.0249911,148.4644414,14.33152222,5.937646533,86.348071,107.2633053,82.74638501,115.6388647,111.2474811,113.8179296,111.8892244,125.0366891,123.1915684,124.9610751,113.0210508,114.1057852,94.25670688,1.809366593,2.480218821,1.998190302,1.344739498,1.238646086,1.138382111,1.560104659,1.09594019,1.373486662,1.540423756,-0.17999,-0.05943,6.4086,0.54641,-0.64847,0.8352,-0.16667,-0.65504,0.94282,-0.7332,-0.65375,0.7045,-0.12693,-0.42642,0.22421,-0.65614,0.27321,-0.45001,0.26586,-0.25296,-0.60754,-515.8787,106.6129,17.4623,122.1486,168.3195,40.5919,79.4354,125.7998,18.7874,138.2953,160.8378,35.569,-65.556,29.0368,154.151,28.0718,155.9208,154.602,4.14,1.92,3.18,5.27,1.05,4.2,1697.52,667.9681,1716.59,554.419,2563.12,309.7389,2.75,1.02,1.88,2.71,6.17,1.49,7.78,1.5,3.14,26.6,7.2,48,40.5,10.8,535.05,498.75,76.25,1.76,-0.2582,-0.10974,0.0001,6.15816,0.61175,123.13,54.67,1.35,0.70235,2.3435,-0.24552,-0.02109,1.33336,1.406419107,1.406353917,1.554839652,66.6148,61.3157,61.3096,82.5072,-0.41996,-0.20006,-0.20008,251.54,233.53,13.896,1.37,6.1268961,1.9593751,1.4846016,9.2134,-0.1792,-0.02399,90.57,62.11,40.099,1.19,0.75582,4.5178,0.40418,0.371,-0.1898,-0.08443,7.2601,96.57,66.07,40.078,1.22,20,2,1.5,24,70,5.91,34
0.13996,155.4872867,14.26059202,174.5449676,149.4090356,15.62900359,7.664625233,87.57047758,114.1411927,77.94035847,114.7949467,111.4351729,113.6204859,115.3705289,124.9219586,123.1842841,125.3022251,112.7393355,114.0802714,94.40197303,1.814236774,2.480160584,1.999776268,1.34213185,1.239691165,1.137816279,1.548216716,1.098867956,1.373699476,1.540501871,-0.17937,-0.05955,6.7181,0.54202,-0.65044,0.83627,-0.17262,-0.65502,0.94449,-0.73441,-0.65555,0.70481,-0.1262,-0.42681,0.22418,-0.65632,0.27185,-0.44926,0.26837,-0.46487,-0.6066,-514.7277,106.3293,14.2766,126.6349,169.1772,40.3228,78.0681,126.2449,18.9981,137.8923,160.5811,35.4187,-65.6435,29.0413,154.0127,27.9183,153.0078,151.7311,4.29,1.57,4.36,5.27,1.05,4.2,1695.79,661.3614,1715.89,530.9808,2562.77,301.8254,2.75,1.02,1.88,2.71,6.17,1.49,7.78,1.5,3.14,30.6,4.8,57,50.3,10.1,551.41,516.77,76.507,1.77,-0.2582,-0.10974,0.0001,6.15816,0.61175,123.13,54.67,1.35,0.70235,2.3435,-0.24552,-0.02109,1.33336,1.406419107,1.406353917,1.554839652,66.6148,61.3157,61.3096,82.5072,-0.41996,-0.20006,-0.20008,251.54,233.53,13.896,1.37,6.1268961,1.9593751,1.4846016,9.2134,-0.1792,-0.02399,90.57,62.11,40.099,1.19,0.75582,4.5178,0.40418,0.371,-0.1898,-0.08443,7.2601,96.57,66.07,40.078,1.22,20,2,1.5,24,70,5.91,27
0.13315,132.8749797,19.26877964,171.548545,148.2740377,14.55042065,15.98894395,86.1889982,99.47954111,103.4878669,115.2365671,111.2971314,112.6837345,112.8588456,124.2305506,123.0462779,124.8637624,112.5597715,113.7958205,93.65926874,1.825663668,2.472819182,2.000000939,1.347056605,1.239882709,1.135930852,1.576255179,1.09356504,1.369216969,1.541078101,-0.18079,-0.0586,5.908,0.54559,-0.65154,0.83703,-0.16556,-0.65348,0.94589,-0.72861,-0.65681,0.70441,-0.12588,-0.43308,0.22631,-0.65719,0.27017,-0.44927,0.26931,-0.04929,-0.60378,-524.73,112.1886,16.9412,119.4159,173.4337,39.1637,67.8261,127.1207,19.0671,138.2244,162.2105,34.9934,-65.1311,29.0445,153.8776,28.0967,153.3294,150.1696,4.12,2.75,3.18,5.27,1.05,4.2,1685.88,590.3428,1715.7,546.7721,2593.71,291.5833,2.75,1.02,1.88,2.71,6.17,1.49,7.78,1.5,3.14,28.6,9.1,49.5,45.2,10.5,551.24,516.43,76.384,1.77,-0.2582,-0.10974,0.0001,6.15816,0.61175,123.13,54.67,1.35,0.70235,2.3435,-0.24552,-0.02109,1.33336,1.406419107,1.406353917,1.554839652,66.6148,61.3157,61.3096,82.5072,-0.41996,-0.20006,-0.20008,251.54,233.53,13.896,1.37,6.1268961,1.9593751,1.4846016,9.2134,-0.1792,-0.02399,90.57,62.11,40.099,1.19,0.75582,4.5178,0.40418,0.371,-0.1898,-0.08443,7.2601,96.57,66.07,40.078,1.22,20,2,1.5,24,70,5.91,29
0.70093,140.1509292,21.26589452,170.9816356,142.5072179,18.40494256,8.523836847,99.8844229,96.96642952,99.04895352,114.7924584,108.9163533,111.9124217,112.0991682,122.7105548,119.0506571,127.1496213,118.1109522,101.0228468,88.28235254,1.899382758,2.262186121,2.008874143,1.347832439,1.248067541,1.120875475,1.537759707,1.095140298,1.528374349,1.086755632,-0.19088,-0.05885,1.2022,0.56327,-0.65466,0.83227,-0.17415,-0.61595,0.68023,-0.71332,-0.69639,0.82237,-0.35968,-0.52933,0.26895,-0.6746,0.28068,0.28347,0.25935,-0.69008,-0.77928,-563.8469,121.0921,15.4129,129.046,146.9877,26.5617,-37.6514,129.6416,22.2715,167.7388,213.7084,31.7537,-62.2461,32.3912,29.6239,28.0718,167.6881,170.1401,2.97,1.51,2.03,2.97,1.5,2.03,1656.94,632.2194,1745.45,1150.8225,2749.94,55.183,2.75,1.02,1.88,2.71,1.03,1.9,2,1,1,23.9,12.1,44.8,28.4,10.3,254.72,219.77,71.418,1.45,-0.25805,-0.10973,0,6.15825,0.61168,123.13,54.677,1.35,0.69974,4.3093,-0.25443,-0.05436,1.15223,1.406029791,1.406432386,1.559021459,60.8212,61.115,61.2353,82.7487,-0.38986,-0.20234,-0.20275,304.57,281.76,33.976,1.47,1.78781,0.89525,0.69034,14.8576,-0.19038,-0.02356,136.53,98.77,66.378,1.32,0.76466,4.5053,0.40063,0.36793,-0.18794,-0.07871,7.5468,96.82,66.16,40.159,1.22,20,1.5,1.5,12,80,13.63,88
0.54916,126.6407778,23.46235015,168.4353838,142.6904011,17.75098434,18.05191277,99.238567,96.3734835,111.3943554,114.3516167,108.8487146,111.1811583,113.9598866,122.2004635,118.4795885,126.7878397,117.9488986,100.6211594,88.11147221,1.90793708,2.248447198,2.01257817,1.35154571,1.248887645,1.119802092,1.558764484,1.094598164,1.527594833,1.086770259,-0.19057,-0.05756,1.8659,0.56252,-0.65735,0.8322,-0.17154,-0.61738,0.68349,-0.70888,-0.69551,0.82269,-0.35881,-0.53404,0.27139,-0.67574,0.27942,0.28321,0.26067,-0.25306,-0.77821,-579.1723,112.7171,15.858,120.5902,156.3324,22.9272,-55.5723,135.3246,22.4512,167.7021,213.9779,31.1436,-62.1121,32.3809,29.6249,28.1282,155.8658,169.0112,4.16,1.92,3.18,2.97,1.5,2.03,1647.31,590.3832,1743.79,1214.3361,2764.68,54.3056,2.75,1.02,1.88,2.71,1.03,1.9,2,1,1,27.9,15.5,47.7,38.5,10,289.87,256.03,71.541,1.49,-0.25805,-0.10973,0,6.15825,0.61168,123.13,54.677,1.35,0.69974,4.3093,-0.25443,-0.05436,1.15223,1.406029791,1.406432386,1.559021459,60.8212,61.115,61.2353,82.7487,-0.38986,-0.20234,-0.20275,304.57,281.76,33.976,1.47,1.78781,0.89525,0.69034,14.8576,-0.19038,-0.02356,136.53,98.77,66.378,1.32,0.76466,4.5053,0.40063,0.36793,-0.18794,-0.07871,7.5468,96.82,66.16,40.159,1.22,20,1.5,1.5,12,80,13.63,90
0.45489,143.07129,19.56261417,169.8271274,142.4451508,17.97810096,10.50857251,100.1899619,109.0441719,90.19526734,114.3018587,111.1610856,112.6512073,116.1657418,122.6145249,118.8995796,127.2969226,117.9749489,101.6221892,88.7212435,1.893579172,2.23812535,2.007661696,1.347078571,1.249580579,1.121784624,1.549794127,1.098319818,1.527471683,1.08662418,-0.18959,-0.05755,2.3335,0.55766,-0.65414,0.8334,-0.17778,-0.61259,0.68195,-0.71478,-0.69677,0.82305,-0.35957,-0.52455,0.26872,-0.6761,0.27912,0.28254,0.26462,-0.46351,-0.77656,-564.4207,107.8419,14.3962,125.6631,149.1202,25.8439,-44.7091,132.5177,22.1595,167.9613,211.6442,31.5277,-62.4166,32.3032,29.6609,27.9314,152.4658,169.4535,4.3,1.58,4.33,2.97,1.5,2.03,1651.48,626.6355,1742.58,1135.337,2741.94,55.4768,2.75,1.02,1.88,2.71,1.03,1.9,2,1,1,30.9,12.4,55.9,45.5,9.9,306.58,274.08,70.34,1.5,-0.25805,-0.10973,0,6.15825,0.61168,123.13,54.677,1.35,0.69974,4.3093,-0.25443,-0.05436,1.15223,1.406029791,1.406432386,1.559021459,60.8212,61.115,61.2353,82.7487,-0.38986,-0.20234,-0.20275,304.57,281.76,33.976,1.47,1.78781,0.89525,0.69034,14.8576,-0.19038,-0.02356,136.53,98.77,66.378,1.32,0.76466,4.5053,0.40063,0.36793,-0.18794,-0.07871,7.5468,96.82,66.16,40.159,1.22,20,1.5,1.5,12,80,13.63,90
