Rx-L,Ry-L,DA1-2-3-4-L,DA2-3-4-5-L,DA2-3-4-9-L,DA3-4-5-6-L,DA1-2-3-8-L,DA1-2-3-7-L,DA7-3-4-5-L,BA1-2-3-L,BA2-3-4-L,BA3-4-5-L,BA3-4-9-L,BA8-3-4-L,BA8-3-2-L,BA8-3-7-L,BA4-5-10-L,BA2-1-11-L,BL1-2-L,BL2-3-L,BL3-4-L,BL5-6-L,BL4-9-L,BL5-10-L,BL1-11-L,BL3-8-L,BL3-7-L,HOMO-L,LUMO-L,DM-L,q1-L,q2-L,q3-L,q4-L,q5-L,q6-L,q7-L,q8-L,q9-L,q10-L,q11-L,NMR1-L,NMR2-L,NMR3-L,NMR4-L,NMR5-L,NMR6-L,NMR7-L,NMR8-L,NMR9-L,NMR10-L,NMR11-L,L-R14-L,B1-R14-L,B5-R14-L,L-R15-L,B1-R15-L,B5-R15-L,L-Y-L,B1-Y-L,B5-Y-L,Area-L,Volume-L,PSA-L,Ovality-L,VF(C5=O6)-L,VI(C5=O6)-L,VF(N4-H9)-L,VI(N4-H9)-L,L-X-S,B1-X-S,B5-X-S,L-R16-S,B1-R16-S,B5-R16-S,BL1-2-S,BL4-5-S,BL4-7-S,BL3-8-S,BL1-12-S,BA1-2-3-S,BA3-4-5-S,BA4-3-8-S,BA2-1-12-S,BA3-2-6-S,DA2-3-4-5-S,DA12-1-2-6-S,HOMO-S,LUMO-S,Rx-S,NMR1-S,NMR2-S,NMR3-S,NMR4-S,NMR5-S,NMR6-S,NMR7-S,NMR8-S,NMR12-S,q1-S,q2-S,q3-S,q4-S,q6-S,Volume-S,PSA-S,HOMO-MC,LUMO-MC,DM-MC,Rx-MC,Rz-MC,Area-MC,Volume-MC,PSA-MC,q(Pd)-MC,DM-CP,HOMO-CP,LUMO-CP,Rx-CP,BL1-2-CP,BL1-6-CP,BL1-7-CP,NMR1-CP,NMR2-CP,NMR6-CP,q1-CP,q2-CP,q6-CP,Area-CP,PSA-CP,Rx-B,Ry-B,DM-B,HOMO-B,LUMO-B,Area-B,PSA-B,q(Ag)-A,Rx-A,Ry-A,HOMO-A,LUMO-A,DM-A,Volume-A,PSA-A,Ovality-A,Eqv(L),Eqv(B),Eqv(A),Time(H)   ,T (?C),DC(Solvent),%ee
0.47539,0.20346,36.32633633,69.87353889,79.38803411,161.7249325,89.53670999,153.6731951,46.28970063,126.1229517,109.9758963,124.7332938,115.9957409,111.7780792,113.252405,106.5249723,117.4997537,106.5318335,1.274245236,1.515058716,1.460277117,1.235477694,1.013796858,1.514104199,1.478789805,1.565610443,1.092831166,-0.23227,0.00268,6.7321,-0.55214,0.57439,-0.12375,-0.65748,0.71461,-0.68586,0.28453,-0.04497,0.4426,-0.7961,-0.10384,29.6866,26.9171,129.8761,133.9421,22.5951,-48.3517,27.8048,153.8858,26.1041,170.3415,121.5289,4.12,2.76,3.19,2.97,1.5,2.03,5.44,1.67,5.11,342.84,319.83,39.664,1.52,1730.45,783.7519,3591.17,57.8996,2.71,1.03,1.9,4.05,1.5,3.14,1.351351614,1.093670307,1.094489943,1.535146374,0.974550095,111.7420118,117.066397,116.9452607,107.7710055,126.2276786,24.46595331,0.406011234,-0.26856,0.0098,1.89413,150.9102,18.2408,139.2469,156.9791,29.4591,-47.2051,29.471,156.6574,24.8758,-0.72948,0.85542,-0.15769,-0.44375,-0.64711,143.5,33.935,-0.25204,-0.10901,0,6.15532,0.55813,161.71,123.19,54.715,0.7371,4.5744,-0.25596,-0.05724,1.15225,1.406019492,1.406253972,1.558287756,60.7506,61.0436,61.1724,-0.38931,-0.20144,-0.20169,304.55,33.973,1.7090757,0.9048213,14.5776,-0.20935,-0.02613,137.9,67.269,0.79003,4.44556,0.39348,-0.19953,-0.08061,8.1307,66.37,40.344,1.23,20,1.5,2,12,60,12.58,50
0.5594,0.13196,19.79695162,143.5620514,29.53953409,177.9630851,104.9225179,136.9946229,27.95682116,125.6515881,107.8354719,128.1570506,116.3078166,112.2331608,113.1197826,107.5494407,117.549968,107.0093323,1.274513182,1.511663644,1.456902841,1.231609674,1.01366384,1.517594257,1.47775383,1.566940987,1.094789614,-0.23842,-0.00371,6.4188,-0.55769,0.59014,-0.11354,-0.66941,0.70402,-0.66246,0.27644,-0.25104,0.44735,-0.79321,-0.10202,31.8145,30.8122,133.9272,136.3293,31.2678,-47.8788,27.8079,146.638,25.7989,171.7097,120.8745,4.21,1.93,4.37,2.97,1.5,2.03,6.5,1.61,7.73,349.77,321.39,39.305,1.54,1752.75,658.0963,3590.92,89.4146,6.37,1.56,7.34,2,1,1,1.393793631,1.094659364,1.093276141,1.09473582,1.013085352,112.8773481,116.8621311,115.5096468,116.9075079,125.0018928,21.29404626,163.8792401,-0.25297,-0.04651,0.6788,147.5268,25.3759,149.8639,162.8676,29.7196,-63.1858,29.019,28.6153,25.045,-0.66177,0.71587,-0.35062,-0.45339,-0.61637,246.91,23.177,-0.24249,-0.10002,0.0049,1.28323,0.36258,211.62,156.95,19.206,0.34205,2.2833,-0.24406,-0.05076,3.40911,1.395657952,1.395730873,2.155348296,50.3463,61.0575,60.7489,-0.18547,-0.25214,-0.25193,195.62,20.061,4.62505,1.97583,6.8714,-0.25348,-0.02785,104.28,77.643,0.7618,4.46899,0.40537,-0.19401,-0.08712,7.3745,66.09,40.081,1.22,10,2,2,24,80,4.7113,90
0.5594,0.13196,19.79695162,143.5620514,29.53953409,177.9630851,104.9225179,136.9946229,27.95682116,125.6515881,107.8354719,128.1570506,116.3078166,112.2331608,113.1197826,107.5494407,117.549968,107.0093323,1.274513182,1.511663644,1.456902841,1.231609674,1.01366384,1.517594257,1.47775383,1.566940987,1.094789614,-0.23842,-0.00371,6.4188,-0.55769,0.59014,-0.11354,-0.66941,0.70402,-0.66246,0.27644,-0.25104,0.44735,-0.79321,-0.10202,31.8145,30.8122,133.9272,136.3293,31.2678,-47.8788,27.8079,146.638,25.7989,171.7097,120.8745,4.21,1.93,4.37,2.97,1.5,2.03,6.5,1.61,7.73,349.77,321.39,39.305,1.54,1752.75,658.0963,3590.92,89.4146,6.37,1.56,7.34,2,1,1,1.393793631,1.094659364,1.093276141,1.09473582,1.013085352,112.8773481,116.8621311,115.5096468,116.9075079,125.0018928,21.29404626,163.8792401,-0.25297,-0.04651,0.6788,147.5268,25.3759,149.8639,162.8676,29.7196,-63.1858,29.019,28.6153,25.045,-0.66177,0.71587,-0.35062,-0.45339,-0.61637,246.91,23.177,-0.24249,-0.10002,0.0049,1.28323,0.36258,211.62,156.95,19.206,0.34205,2.2833,-0.24406,-0.05076,3.40911,1.395657952,1.395730873,2.155348296,50.3463,61.0575,60.7489,-0.18547,-0.25214,-0.25193,195.62,20.061,2.91437,2.91167,12.4755,-0.22218,-0.01896,99.91,61.801,0.7618,4.46899,0.40537,-0.19401,-0.08712,7.3745,66.09,40.081,1.22,10,2,2,24,80,4.7113,90
0.5594,0.13196,19.79695162,143.5620514,29.53953409,177.9630851,104.9225179,136.9946229,27.95682116,125.6515881,107.8354719,128.1570506,116.3078166,112.2331608,113.1197826,107.5494407,117.549968,107.0093323,1.274513182,1.511663644,1.456902841,1.231609674,1.01366384,1.517594257,1.47775383,1.566940987,1.094789614,-0.23842,-0.00371,6.4188,-0.55769,0.59014,-0.11354,-0.66941,0.70402,-0.66246,0.27644,-0.25104,0.44735,-0.79321,-0.10202,31.8145,30.8122,133.9272,136.3293,31.2678,-47.8788,27.8079,146.638,25.7989,171.7097,120.8745,4.21,1.93,4.37,2.97,1.5,2.03,6.5,1.61,7.73,349.77,321.39,39.305,1.54,1752.75,658.0963,3590.92,89.4146,6.37,1.56,7.34,2,1,1,1.393793631,1.094659364,1.093276141,1.09473582,1.013085352,112.8773481,116.8621311,115.5096468,116.9075079,125.0018928,21.29404626,163.8792401,-0.25297,-0.04651,0.6788,147.5268,25.3759,149.8639,162.8676,29.7196,-63.1858,29.019,28.6153,25.045,-0.66177,0.71587,-0.35062,-0.45339,-0.61637,246.91,23.177,-0.24249,-0.10002,0.0049,1.28323,0.36258,211.62,156.95,19.206,0.34205,2.2833,-0.24406,-0.05076,3.40911,1.395657952,1.395730873,2.155348296,50.3463,61.0575,60.7489,-0.18547,-0.25214,-0.25193,195.62,20.061,1.34416,1.34304,16.4739,-0.18161,-0.0357,120.54,60.142,0.7618,4.46899,0.40537,-0.19401,-0.08712,7.3745,66.09,40.081,1.22,10,2,2,24,80,4.7113,89
0.5594,0.13196,19.79695162,143.5620514,29.53953409,177.9630851,104.9225179,136.9946229,27.95682116,125.6515881,107.8354719,128.1570506,116.3078166,112.2331608,113.1197826,107.5494407,117.549968,107.0093323,1.274513182,1.511663644,1.456902841,1.231609674,1.01366384,1.517594257,1.47775383,1.566940987,1.094789614,-0.23842,-0.00371,6.4188,-0.55769,0.59014,-0.11354,-0.66941,0.70402,-0.66246,0.27644,-0.25104,0.44735,-0.79321,-0.10202,31.8145,30.8122,133.9272,136.3293,31.2678,-47.8788,27.8079,146.638,25.7989,171.7097,120.8745,4.21,1.93,4.37,2.97,1.5,2.03,6.5,1.61,7.73,349.77,321.39,39.305,1.54,1752.75,658.0963,3590.92,89.4146,6.37,1.56,7.34,2,1,1,1.393793631,1.094659364,1.093276141,1.09473582,1.013085352,112.8773481,116.8621311,115.5096468,116.9075079,125.0018928,21.29404626,163.8792401,-0.25297,-0.04651,0.6788,147.5268,25.3759,149.8639,162.8676,29.7196,-63.1858,29.019,28.6153,25.045,-0.66177,0.71587,-0.35062,-0.45339,-0.61637,246.91,23.177,-0.24249,-0.10002,0.0049,1.28323,0.36258,211.62,156.95,19.206,0.34205,2.2833,-0.24406,-0.05076,3.40911,1.395657952,1.395730873,2.155348296,50.3463,61.0575,60.7489,-0.18547,-0.25214,-0.25193,195.62,20.061,0.8822095,0.8716063,10.2519,-0.15818,-0.02417,154.63,60.917,0.7618,4.46899,0.40537,-0.19401,-0.08712,7.3745,66.09,40.081,1.22,10,2,2,24,80,4.7113,88
0.5594,0.13196,19.79695162,143.5620514,29.53953409,177.9630851,104.9225179,136.9946229,27.95682116,125.6515881,107.8354719,128.1570506,116.3078166,112.2331608,113.1197826,107.5494407,117.549968,107.0093323,1.274513182,1.511663644,1.456902841,1.231609674,1.01366384,1.517594257,1.47775383,1.566940987,1.094789614,-0.23842,-0.00371,6.4188,-0.55769,0.59014,-0.11354,-0.66941,0.70402,-0.66246,0.27644,-0.25104,0.44735,-0.79321,-0.10202,31.8145,30.8122,133.9272,136.3293,31.2678,-47.8788,27.8079,146.638,25.7989,171.7097,120.8745,4.21,1.93,4.37,2.97,1.5,2.03,6.5,1.61,7.73,349.77,321.39,39.305,1.54,1752.75,658.0963,3590.92,89.4146,6.37,1.56,7.34,2,1,1,1.393793631,1.094659364,1.093276141,1.09473582,1.013085352,112.8773481,116.8621311,115.5096468,116.9075079,125.0018928,21.29404626,163.8792401,-0.25297,-0.04651,0.6788,147.5268,25.3759,149.8639,162.8676,29.7196,-63.1858,29.019,28.6153,25.045,-0.66177,0.71587,-0.35062,-0.45339,-0.61637,246.91,23.177,-0.24249,-0.10002,0.0049,1.28323,0.36258,211.62,156.95,19.206,0.34205,2.2833,-0.24406,-0.05076,3.40911,1.395657952,1.395730873,2.155348296,50.3463,61.0575,60.7489,-0.18547,-0.25214,-0.25193,195.62,20.061,4.77546,3.39066,4.4099,-0.26926,-0.00679,97.11,77.875,0.7618,4.46899,0.40537,-0.19401,-0.08712,7.3745,66.09,40.081,1.22,10,2,2,24,80,4.7113,88
0.5594,0.13196,19.79695162,143.5620514,29.53953409,177.9630851,104.9225179,136.9946229,27.95682116,125.6515881,107.8354719,128.1570506,116.3078166,112.2331608,113.1197826,107.5494407,117.549968,107.0093323,1.274513182,1.511663644,1.456902841,1.231609674,1.01366384,1.517594257,1.47775383,1.566940987,1.094789614,-0.23842,-0.00371,6.4188,-0.55769,0.59014,-0.11354,-0.66941,0.70402,-0.66246,0.27644,-0.25104,0.44735,-0.79321,-0.10202,31.8145,30.8122,133.9272,136.3293,31.2678,-47.8788,27.8079,146.638,25.7989,171.7097,120.8745,4.21,1.93,4.37,2.97,1.5,2.03,6.5,1.61,7.73,349.77,321.39,39.305,1.54,1752.75,658.0963,3590.92,89.4146,6.37,1.56,7.34,2,1,1,1.393793631,1.094659364,1.093276141,1.09473582,1.013085352,112.8773481,116.8621311,115.5096468,116.9075079,125.0018928,21.29404626,163.8792401,-0.25297,-0.04651,0.6788,147.5268,25.3759,149.8639,162.8676,29.7196,-63.1858,29.019,28.6153,25.045,-0.66177,0.71587,-0.35062,-0.45339,-0.61637,246.91,23.177,-0.24249,-0.10002,0.0049,1.28323,0.36258,211.62,156.95,19.206,0.34205,2.2833,-0.24406,-0.05076,3.40911,1.395657952,1.395730873,2.155348296,50.3463,61.0575,60.7489,-0.18547,-0.25214,-0.25193,195.62,20.061,2.3575967,1.6680685,12.5461,-0.20678,-0.03271,112.7,68.681,0.7618,4.46899,0.40537,-0.19401,-0.08712,7.3745,66.09,40.081,1.22,10,2,2,24,80,4.7113,88
0.5594,0.13196,19.79695162,143.5620514,29.53953409,177.9630851,104.9225179,136.9946229,27.95682116,125.6515881,107.8354719,128.1570506,116.3078166,112.2331608,113.1197826,107.5494407,117.549968,107.0093323,1.274513182,1.511663644,1.456902841,1.231609674,1.01366384,1.517594257,1.47775383,1.566940987,1.094789614,-0.23842,-0.00371,6.4188,-0.55769,0.59014,-0.11354,-0.66941,0.70402,-0.66246,0.27644,-0.25104,0.44735,-0.79321,-0.10202,31.8145,30.8122,133.9272,136.3293,31.2678,-47.8788,27.8079,146.638,25.7989,171.7097,120.8745,4.21,1.93,4.37,2.97,1.5,2.03,6.5,1.61,7.73,349.77,321.39,39.305,1.54,1752.75,658.0963,3590.92,89.4146,6.37,1.56,7.34,2,1,1,1.393793631,1.094659364,1.093276141,1.09473582,1.013085352,112.8773481,116.8621311,115.5096468,116.9075079,125.0018928,21.29404626,163.8792401,-0.25297,-0.04651,0.6788,147.5268,25.3759,149.8639,162.8676,29.7196,-63.1858,29.019,28.6153,25.045,-0.66177,0.71587,-0.35062,-0.45339,-0.61637,246.91,23.177,-0.24249,-0.10002,0.0049,1.28323,0.36258,211.62,156.95,19.206,0.34205,2.2833,-0.24406,-0.05076,3.40911,1.395657952,1.395730873,2.155348296,50.3463,61.0575,60.7489,-0.18547,-0.25214,-0.25193,195.62,20.061,4.5765645,1.2775363,9.1059,-0.2409,-0.02767,116.75,76.694,0.7618,4.46899,0.40537,-0.19401,-0.08712,7.3745,66.09,40.081,1.22,10,2,2,24,80,4.7113,90
0.5594,0.13196,19.79695162,143.5620514,29.53953409,177.9630851,104.9225179,136.9946229,27.95682116,125.6515881,107.8354719,128.1570506,116.3078166,112.2331608,113.1197826,107.5494407,117.549968,107.0093323,1.274513182,1.511663644,1.456902841,1.231609674,1.01366384,1.517594257,1.47775383,1.566940987,1.094789614,-0.23842,-0.00371,6.4188,-0.55769,0.59014,-0.11354,-0.66941,0.70402,-0.66246,0.27644,-0.25104,0.44735,-0.79321,-0.10202,31.8145,30.8122,133.9272,136.3293,31.2678,-47.8788,27.8079,146.638,25.7989,171.7097,120.8745,4.21,1.93,4.37,2.97,1.5,2.03,6.5,1.61,7.73,349.77,321.39,39.305,1.54,1752.75,658.0963,3590.92,89.4146,6.37,1.56,7.34,2,1,1,1.393793631,1.094659364,1.093276141,1.09473582,1.013085352,112.8773481,116.8621311,115.5096468,116.9075079,125.0018928,21.29404626,163.8792401,-0.25297,-0.04651,0.6788,147.5268,25.3759,149.8639,162.8676,29.7196,-63.1858,29.019,28.6153,25.045,-0.66177,0.71587,-0.35062,-0.45339,-0.61637,246.91,23.177,-0.24249,-0.10002,0.0049,1.28323,0.36258,211.62,156.95,19.206,0.34205,2.2833,-0.24406,-0.05076,3.40911,1.395657952,1.395730873,2.155348296,50.3463,61.0575,60.7489,-0.18547,-0.25214,-0.25193,195.62,20.061,1.8976857,0.8649584,11.2968,-0.19191,-0.02618,136.66,66.966,0.7618,4.46899,0.40537,-0.19401,-0.08712,7.3745,66.09,40.081,1.22,10,2,2,24,80,4.7113,90
0.5594,0.13196,19.79695162,143.5620514,29.53953409,177.9630851,104.9225179,136.9946229,27.95682116,125.6515881,107.8354719,128.1570506,116.3078166,112.2331608,113.1197826,107.5494407,117.549968,107.0093323,1.274513182,1.511663644,1.456902841,1.231609674,1.01366384,1.517594257,1.47775383,1.566940987,1.094789614,-0.23842,-0.00371,6.4188,-0.55769,0.59014,-0.11354,-0.66941,0.70402,-0.66246,0.27644,-0.25104,0.44735,-0.79321,-0.10202,31.8145,30.8122,133.9272,136.3293,31.2678,-47.8788,27.8079,146.638,25.7989,171.7097,120.8745,4.21,1.93,4.37,2.97,1.5,2.03,6.5,1.61,7.73,349.77,321.39,39.305,1.54,1752.75,658.0963,3590.92,89.4146,6.37,1.56,7.34,2,1,1,1.393793631,1.094659364,1.093276141,1.09473582,1.013085352,112.8773481,116.8621311,115.5096468,116.9075079,125.0018928,21.29404626,163.8792401,-0.25297,-0.04651,0.6788,147.5268,25.3759,149.8639,162.8676,29.7196,-63.1858,29.019,28.6153,25.045,-0.66177,0.71587,-0.35062,-0.45339,-0.61637,246.91,23.177,-0.24249,-0.10002,0.0049,1.28323,0.36258,211.62,156.95,19.206,0.34205,2.2833,-0.24406,-0.05076,3.40911,1.395657952,1.395730873,2.155348296,50.3463,61.0575,60.7489,-0.18547,-0.25214,-0.25193,195.62,20.061,9.4940876,5.6635955,7.1891,-0.23227,-0.00731,77.41,41.429,0.7618,4.46899,0.40537,-0.19401,-0.08712,7.3745,66.09,40.081,1.22,10,2,2,24,80,4.7113,90
