Rx-MLS,DA3-4-5-6-MLS,DA4-5-1-2-MLS,DA4-5-6-7-MLS,DA9-10-11-14-MLS,DA9-10-11-12-MLS,DA1-5-6-7-MLS,DA1-12-11-14-MLS,DA1-5-4-20-MLS,DA6-5-4-20-MLS,BA1-2-3-MLS,BA3-4-20-MLS,BA1-5-4-MLS,BA5-4-20-MLS,BA5-6-7-MLS,BA7-6-22-MLS,BA10-11-12-MLS,BA10-11-14-MLS,BA1-12-11-MLS,BA5-1-12-MLS,NB1-12-MLS,NB7-12-MLS,BL1-2-MLS,BL5-6-MLS,BL6-7-MLS,BL11-12-MLS,BL4-20-MLS,BL4-19-MLS,BL6-22-MLS,BL10-15-MLS,HOMO-MLS,LUMO-MLS,DM-MLS,q1-MLS,q2-MLS,q3-MLS,q4-MLS,q5-MLS,q6-MLS,q7-MLS,q8-MLS,q9-MLS,q10-MLS,q11-MLS,q12-MLS,q13-MLS,q14-MLS,q15-MLS,q19-MLS,q20-MLS,q22-MLS,NMR1-MLS,NMR2-MLS,NMR3-MLS,NMR4-MLS,NMR5-MLS,NMR6-MLS,NMR7-MLS,NMR8-MLS,NMR9-MLS,NMR10-MLS,NMR11-MLS,NMR12-MLS,NMR13-MLS,NMR14-MLS,NMR15-MLS,NMR19-MLS,NMR20-MLS,NMR22-MLS,L-R14-MLS,B1-R14-MLS,B5-R14-MLS,L-R15-MLS,B1-R15-MLS,B5-R15-MLS,VF(C6=O7)-MLS,VI(C6=O7)-MLS,VF(C9=O13)-MLS,VI(C9=O13)-MLS,VF(C11-H12)-MLS,VI(C11-H12)-MLS,L-Y-MLS,B1-Y-MLS,B5-Y-MLS,L-X-MLS,B1-X-MLS,B5-X-MLS,L-R16-MLS,B1-R16-MLS,B5-R16-MLS,BV-MLS,BV-SW-MLS,BV-NW-MLS,BV-NE-MLS,BV-SE-MLS,Area-MLS,Volume-MLS,PSA-MLS,Ovality-MLS,HOMO-MC,LUMO-MC,DM-MC,Rx-MC,Ry-MC,Volume-MC,PSA-MC,Ovality-MC,q(Pd)-MC,DM-CP,HOMO-CP,LUMO-CP,Rx-CP,BL1-2-CP,BL1-6-CP,BL1-7-CP,NMR1-CP,NMR2-CP,NMR6-CP,NMR7-CP,q1-CP,q2-CP,q6-CP,Area-CP,Volume-CP,PSA-CP,Ovality-CP,Rx-B,Ry-B,Rz-B,DM-B,HOMO-B,LUMO-B,Area-B,Volume-B,PSA-B,Ovality-B,q(Ag)-A,Rx-A,Ry-A,Rz-A,HOMO-A,LUMO-A,DM-A,Area-A,Volume-A,PSA-A,Ovality-A,Eqv(L),Eqv(B),Eqv(A),Time(H)   ,Temp.,DC(Solvent),%ee
0.26271,148.4489033,34.39977267,172.6750702,143.5451868,14.49173851,8.965591998,95.66278698,105.6779011,89.63019781,102.5260328,109.8376037,113.6091171,113.2299344,121.8166368,118.9551055,125.1622925,117.5078199,98.09189206,92.31543903,1.976234264,2.411543117,2.079591692,1.341133927,1.256536567,1.110922351,1.55891302,1.095018245,1.522868036,1.086485424,-0.2129,-0.07666,12.1919,0.60232,-0.41835,-0.26572,-0.0719,-0.60507,0.69139,-0.74874,-0.72097,0.8376,-0.35999,-0.5323,0.27186,-0.70714,0.2816,0.29258,0.26156,-0.48285,-0.77779,-545.5873,193.6197,126.454,130.6457,123.7355,22.2422,-15.2893,135.2172,20.1585,170.2262,214.0925,31.4401,-45.0505,32.5826,30.1026,27.6702,153.7865,168.2746,4.83,1.56,6.01,2.97,1.5,2.03,1606.25,878.5407,1701.05,1012.5983,2889.39,28.4015,4.06,1.85,3.12,2.71,1.03,1.9,2,1,1,39.4,14.6,61.8,53.4,27.9,366.94,345.66,41.45,1.54,-0.25089,-0.10865,0,6.15737,0.60887,123.19,54.714,1.35,0.74907,2.9017,-0.23066,-0.03108,5.49795,1.39245,1.394990094,2.163257702,61.5662,61.5965,61.6134,46.1174,-0.20895,-0.25249,-0.25274,195.67,172.91,20.079,1.3,6.0219779,1.9126339,1.4522648,10.1662,-0.20732,-0.02413,91.37,62.39,40.332,1.2,0.79875,4.46774,0.38892,0.35777,-0.203,-0.07991,8.3156,97.67,66.44,40.427,1.23,20,1.5,1.5,16,80,16.777,94
0.24215,148.2321227,32.77508655,173.1765045,143.5996858,14.03242408,9.793310366,96.84402683,105.9037891,89.88341115,103.7683118,109.9041903,114.3484486,112.7747903,121.8593925,118.7851088,125.3467702,117.5520016,100.2239723,91.8586151,1.953833477,2.374716818,2.083625567,1.341516782,1.25700012,1.112601946,1.558622333,1.094870126,1.522900219,1.086286037,-0.2128,-0.07721,12.0443,0.59852,-0.42174,-0.26498,-0.06988,-0.6075,0.68756,-0.7443,-0.72404,0.8381,-0.36061,-0.52351,0.2663,-0.70813,0.2812,0.29109,0.26174,-0.4823,-0.77738,-541.5873,179.1591,132.9684,130.8277,122.5267,22.2241,-15.0774,137.7589,19.7186,169.2751,210.6541,31.5096,-46.7643,32.1432,29.9461,27.6627,152.8531,168.0339,4.8,1.56,6.02,2.97,1.5,2.03,1604.38,888.6943,1700.31,1010.606,2842.03,33.8706,4.09,1.86,4.42,2.71,1.03,1.9,2,1,1,42.5,15.8,60.9,62.6,30.6,383.48,363.7,40.748,1.56,-0.25089,-0.10865,0,6.15737,0.60887,123.19,54.714,1.35,0.74907,2.9017,-0.23066,-0.03108,5.49795,1.39245,1.394990094,2.163257702,61.5662,61.5965,61.6134,46.1174,-0.20895,-0.25249,-0.25274,195.67,172.91,20.079,1.3,6.0219779,1.9126339,1.4522648,10.1662,-0.20732,-0.02413,91.37,62.39,40.332,1.2,0.79875,4.46774,0.38892,0.35777,-0.203,-0.07991,8.3156,97.67,66.44,40.427,1.23,20,1.5,1.5,16,80,16.777,90
0.22943,138.663545,34.59411817,173.0456976,142.4871088,15.23240868,3.348435274,98.11212729,92.97854119,96.57046302,107.6710289,111.8458954,113.4365184,112.3348506,121.9665012,118.7880129,125.6519005,117.6089585,103.3463085,90.47714942,1.926008264,2.334456745,2.093633954,1.339695875,1.257044656,1.11401872,1.557264129,1.094106367,1.523888989,1.085781824,-0.21015,-0.07607,12.2951,0.60481,-0.43495,-0.26721,-0.06756,-0.60421,0.69176,-0.74949,-0.72889,0.83916,-0.35961,-0.51463,0.25885,-0.71128,0.28049,0.28956,0.26454,-0.48207,-0.77837,-537.5867,170.6532,128.9915,124.6839,118.2707,23.5239,-11.1491,126.7349,19.2776,169.3951,207.5228,31.5074,-46.1123,32.0431,29.7888,27.5749,149.4884,168.558,4.87,1.56,5.99,2.97,1.5,2.03,1606.08,943.8021,1697.36,1016.2708,2824.42,41.7472,4.89,1.85,4.44,2.71,1.03,1.9,2,1,1,45.9,29,60.1,64.4,30.3,395.99,381.73,40.803,1.56,-0.25089,-0.10865,0,6.15737,0.60887,123.19,54.714,1.35,0.74907,2.9017,-0.23066,-0.03108,5.49795,1.39245,1.394990094,2.163257702,61.5662,61.5965,61.6134,46.1174,-0.20895,-0.25249,-0.25274,195.67,172.91,20.079,1.3,6.0219779,1.9126339,1.4522648,10.1662,-0.20732,-0.02413,91.37,62.39,40.332,1.2,0.79875,4.46774,0.38892,0.35777,-0.203,-0.07991,8.3156,97.67,66.44,40.427,1.23,20,1.5,1.5,16,80,16.777,74
0.19929,150.3294995,31.20501917,170.4826705,144.0500892,11.0112701,7.123508868,94.35318903,107.1419651,88.5509162,99.46467602,108.9457421,113.9423069,113.0748559,121.8067996,118.8367346,124.3573165,117.3259834,99.05645943,91.95451034,2.076705974,2.413438672,2.15061626,1.341279995,1.256534461,1.10461928,1.561659093,1.095308167,1.521982077,1.086573667,-0.21179,-0.08678,12.7156,0.62879,-0.43857,-0.27036,-0.0674,-0.60481,0.69187,-0.74401,-0.73609,0.83723,-0.36256,-0.52432,0.26649,-0.71239,0.27646,0.2894,0.25739,-0.48178,-0.77559,-659.1309,155.6917,134.4314,126.7353,132.8864,20.9658,-19.1327,145.8644,20.2487,170.0558,210.1335,31.0795,-44.8575,32.2458,30.0523,27.7442,153.0892,167.5664,4.85,1.56,6,2.97,1.5,2.03,1606.11,868.3913,1695.01,999.3125,2950.09,24.8465,5.05,1.95,4.49,2.71,1.03,1.9,2,1,1,46.8,19.7,61.4,64,42.1,424.62,416.36,40.064,1.57,-0.25089,-0.10865,0,6.15737,0.60887,123.19,54.714,1.35,0.74907,2.9017,-0.23066,-0.03108,5.49795,1.39245,1.394990094,2.163257702,61.5662,61.5965,61.6134,46.1174,-0.20895,-0.25249,-0.25274,195.67,172.91,20.079,1.3,6.0219779,1.9126339,1.4522648,10.1662,-0.20732,-0.02413,91.37,62.39,40.332,1.2,0.79875,4.46774,0.38892,0.35777,-0.203,-0.07991,8.3156,97.67,66.44,40.427,1.23,20,1.5,1.5,16,80,16.777,12
0.2422,134.858638,22.80487768,174.2339305,142.1672417,15.58669692,0.326045418,99.59627231,89.73387687,95.22925152,108.4546949,116.9423232,112.9242825,114.0819171,122.1464261,118.7472513,125.9915479,117.983835,104.1903043,91.76868578,1.904869463,2.353216095,2.073389598,1.342572271,1.255361069,1.116654799,1.554182227,1.095421146,1.525063643,1.08568155,-0.21111,-0.07831,11.4967,0.5906,-0.44661,-0.26193,-0.0704,-0.61113,0.69104,-0.75084,-0.72418,0.8389,-0.36187,-0.50421,0.25681,-0.70854,0.28411,0.28857,0.27081,-0.4862,-0.77968,-535.4253,173.9068,119.5284,123.9403,115.4002,24.1085,-9.1621,149.2128,18.3571,167.7211,205.0619,32.4768,-47.4878,31.4639,29.3098,27.8835,150.0709,169.0695,5.17,1.58,5.82,2.97,1.5,2.03,1609.16,983.4611,1698.75,976.9442,2795.66,48.3829,4.33,1.69,3.8,2.71,1.03,1.9,2,1,1,41.5,7.7,50.3,72.3,35.6,369.81,354.84,41.079,1.53,-0.25089,-0.10865,0,6.15737,0.60887,123.19,54.714,1.35,0.74907,2.9017,-0.23066,-0.03108,5.49795,1.39245,1.394990094,2.163257702,61.5662,61.5965,61.6134,46.1174,-0.20895,-0.25249,-0.25274,195.67,172.91,20.079,1.3,6.0219779,1.9126339,1.4522648,10.1662,-0.20732,-0.02413,91.37,62.39,40.332,1.2,0.79875,4.46774,0.38892,0.35777,-0.203,-0.07991,8.3156,97.67,66.44,40.427,1.23,20,1.5,1.5,16,80,16.777,66
0.23208,139.7796611,37.68698159,177.8766041,141.3656322,16.05618326,0.313838293,99.95670405,87.17848611,94.46391225,109.2901843,112.8938071,112.3497642,112.8129765,121.9209579,119.0782868,126.1523588,117.5435083,105.1272543,91.1853476,1.9080905,2.357820133,2.069640556,1.3408226,1.25584474,1.114957394,1.556963842,1.094213407,1.52417517,1.085325482,-0.21068,-0.07535,12.0467,0.60791,-0.43788,-0.26581,-0.06717,-0.60637,0.69079,-0.74951,-0.72593,0.83996,-0.36019,-0.50774,0.25577,-0.71097,0.28115,0.28893,0.26709,-0.48284,-0.77939,-528.1221,166.167,126.7168,124.9787,119.7306,23.5992,-7.9693,126.437,18.7318,169.3816,206.2037,31.9561,-47.4614,32.0522,29.8688,27.5902,148.9003,169.0925,4.92,1.57,5.96,2.97,1.5,2.03,1608.87,961.583,1696.55,999.4772,2817.29,37.8666,5.12,1.82,3.48,2.71,1.03,1.9,2,1,1,44.1,18.8,60.6,64.7,32.3,387.06,371.02,42.109,1.55,-0.25089,-0.10865,0,6.15737,0.60887,123.19,54.714,1.35,0.74907,2.9017,-0.23066,-0.03108,5.49795,1.39245,1.394990094,2.163257702,61.5662,61.5965,61.6134,46.1174,-0.20895,-0.25249,-0.25274,195.67,172.91,20.079,1.3,6.0219779,1.9126339,1.4522648,10.1662,-0.20732,-0.02413,91.37,62.39,40.332,1.2,0.79875,4.46774,0.38892,0.35777,-0.203,-0.07991,8.3156,97.67,66.44,40.427,1.23,20,1.5,1.5,16,80,16.777,76
0.45977,146.1147438,32.73990774,172.0980601,142.9198513,16.45567396,12.84782452,96.25690065,109.3610472,90.48425881,102.8241397,111.5894265,114.1845488,112.3310657,121.7961055,118.7077925,125.1250657,118.0514656,99.12792604,89.39910968,1.961128891,2.343301413,2.077859363,1.342530873,1.257462247,1.112914501,1.553676315,1.096085766,1.522810277,1.086631047,-0.21322,-0.077,12.4569,0.60004,-0.4154,-0.27,-0.07891,-0.6015,0.69057,-0.74808,-0.71959,0.83707,-0.36138,-0.53512,0.27055,-0.70778,0.28352,0.29325,0.25619,-0.25585,-0.77728,-536.8311,193.2219,128.1921,126.9994,121.6272,21.2461,-19.1086,126.8451,19.2545,168.4635,213.4711,31.2347,-44.5297,32.2033,29.4264,27.9546,157.6679,168.4232,4.17,1.92,3.19,2.97,1.5,2.03,1600.67,854.6812,1700.53,1050.7814,2850.95,41.8963,3.38,1.82,3.12,2.71,1.03,1.9,2,1,1,33.2,16.8,49.4,39,27.8,330.46,298.48,42.12,1.53,-0.25089,-0.10865,0,6.15737,0.60887,123.19,54.714,1.35,0.74907,2.9017,-0.23066,-0.03108,5.49795,1.39245,1.394990094,2.163257702,61.5662,61.5965,61.6134,46.1174,-0.20895,-0.25249,-0.25274,195.67,172.91,20.079,1.3,6.0219779,1.9126339,1.4522648,10.1662,-0.20732,-0.02413,91.37,62.39,40.332,1.2,0.79875,4.46774,0.38892,0.35777,-0.203,-0.07991,8.3156,97.67,66.44,40.427,1.23,20,1.5,1.5,16,80,16.777,92
0.41395,143.3107321,34.65985662,173.5403709,142.8787052,16.41961469,14.28577336,99.12187393,104.827059,95.17311893,102.688819,108.7553801,113.4138776,114.9565734,121.1959125,142.1776847,126.0450431,117.6275912,101.922656,90.38042493,1.933576507,2.303778238,2.077348547,1.340767366,1.259732477,1.114849484,1.557737393,1.094708693,2.219864132,1.086557577,-0.21286,-0.07803,12.0378,0.59796,-0.41708,-0.26533,-0.07379,-0.60101,0.68716,-0.75326,-0.72052,0.83744,-0.36218,-0.52538,0.2658,-0.70808,0.28259,0.29189,0.25497,-0.25909,0.24243,-538.8229,192.8863,123.8997,124.7499,115.7213,20.9891,-9.1882,129.7564,18.8507,169.0245,211.8258,31.22,-45.5205,32.0314,29.5315,27.7634,154.082,29.4356,4.15,1.89,4.35,2.97,1.5,2.03,1586.16,900.6877,1700.18,1043.1873,2833.18,47.261,3.38,1.82,3.12,2.71,1.03,1.9,2,1,1,35.8,20.2,58.8,36.4,27.5,342.6,316.46,41.187,1.53,-0.25089,-0.10865,0,6.15737,0.60887,123.19,54.714,1.35,0.74907,2.9017,-0.23066,-0.03108,5.49795,1.39245,1.394990094,2.163257702,61.5662,61.5965,61.6134,46.1174,-0.20895,-0.25249,-0.25274,195.67,172.91,20.079,1.3,6.0219779,1.9126339,1.4522648,10.1662,-0.20732,-0.02413,91.37,62.39,40.332,1.2,0.79875,4.46774,0.38892,0.35777,-0.203,-0.07991,8.3156,97.67,66.44,40.427,1.23,20,1.5,1.5,16,80,16.777,92
0.41678,130.0117404,38.82900412,171.9682798,143.1884201,15.68964695,18.97483223,96.4107516,99.43498927,106.5309462,103.5504217,111.254191,112.6982173,112.8785275,121.271361,121.6764411,125.1232697,117.7810877,98.10047261,90.05314112,1.971597746,2.396241472,2.080431915,1.344789705,1.257630721,1.111284461,1.569299153,1.0950445,2.152821657,1.086582252,-0.21419,-0.07599,12.1391,0.59472,-0.42035,-0.2672,-0.07412,-0.59983,0.69031,-0.744,-0.71932,0.83694,-0.36022,-0.53978,0.27383,-0.70735,0.28365,0.29364,0.25837,-0.05445,0.26013,-540.5943,194.1666,126.8098,122.4795,122.3282,18.6353,-25.3433,132.2476,19.5781,168.5167,214.6311,30.6606,-45.2825,32.2622,29.4339,28.1204,152.1951,29.6708,4.14,2.76,3.2,2.97,1.5,2.03,1594.84,820.4922,1701.08,1046.3165,2877.04,31.155,3.38,1.82,3.12,2.71,1.03,1.9,2,1,1,34.9,19.3,50.9,42,27.3,343.41,315.73,42.335,1.53,-0.25089,-0.10865,0,6.15737,0.60887,123.19,54.714,1.35,0.74907,2.9017,-0.23066,-0.03108,5.49795,1.39245,1.394990094,2.163257702,61.5662,61.5965,61.6134,46.1174,-0.20895,-0.25249,-0.25274,195.67,172.91,20.079,1.3,6.0219779,1.9126339,1.4522648,10.1662,-0.20732,-0.02413,91.37,62.39,40.332,1.2,0.79875,4.46774,0.38892,0.35777,-0.203,-0.07991,8.3156,97.67,66.44,40.427,1.23,20,1.5,1.5,16,80,16.777,88
0.36043,132.9893096,25.95399411,175.5759385,142.2592057,17.03596416,1.913438461,98.47325367,84.58646636,97.66113804,107.451003,116.5099494,111.6361606,115.0833496,122.2244966,119.110796,125.9923501,118.0183664,101.7070831,90.84928176,1.914183219,2.358691864,2.085984942,1.339935267,1.255696348,1.117111043,1.558347107,1.095162786,1.525165531,1.08637936,-0.21178,-0.07832,11.3975,0.58841,-0.42603,-0.26018,-0.07757,-0.60565,0.68852,-0.75236,-0.71873,0.8387,-0.36229,-0.51658,0.26409,-0.70653,0.28573,0.2923,0.27028,-0.48028,-0.77877,-518.5316,185.21,117.5944,128.3534,115.837,23.8702,-6.0411,125.7858,18.7507,169.0112,209.655,32.108,-46.6658,31.8278,29.5051,27.9387,151.5287,169.0456,5.2,1.58,4.23,2.97,1.5,2.03,1612.47,990.7351,1700.78,1023.5444,2801.92,49.7174,3.38,1.82,3.12,2.71,1.03,1.9,2,1,1,37,9.4,58.4,52.5,27.7,346.74,317.08,41.191,1.54,-0.25089,-0.10865,0,6.15737,0.60887,123.19,54.714,1.35,0.74907,2.9017,-0.23066,-0.03108,5.49795,1.39245,1.394990094,2.163257702,61.5662,61.5965,61.6134,46.1174,-0.20895,-0.25249,-0.25274,195.67,172.91,20.079,1.3,6.0219779,1.9126339,1.4522648,10.1662,-0.20732,-0.02413,91.37,62.39,40.332,1.2,0.79875,4.46774,0.38892,0.35777,-0.203,-0.07991,8.3156,97.67,66.44,40.427,1.23,20,1.5,1.5,16,80,16.777,92
